comment,VALUE
Aplikasi ribet,Negatif
🥰,Positif
"Kenapa mau di pakai malahan g bisa di buka ini aplikasi. ..saldo gue masih banyak , tolong dong ya !!!! Duh bukannya bikin praktis malahan bikin ribet",Negatif
"Error sekali tapi jangan lupa kebaikan yang lainnya. Banya promo, banyak point, banyak free. Nongki ternyaman daripada tempat lainnya. Apalagi menu ADL ice sama Salted caramel,,top dahh",Positif
Tempat meetup dan meeting yg nyaman sepanjang kenal starbucks. Thanks Starbucks,Positif
Bagus 👍,Positif
Aplikasi tidak bisa di buka. Gimana nasib dana saya yg ada? Terpaksa bayar dengan Cash karena ramai. Bayangkan jika tidak ada cash. Tolong perbaiki lah..,Negatif
aplikasi nggak bisa di buka,Negatif
Mayan buat dapet promo sbux dan kumpulin poin hanya saja loading agak lama,Positif
The apps UI looks messed up on my phone,Negatif
Apk gbsa di donlot! Payah,Negatif
"Hallo, saya mencoba daftar pengguna baru di aplikasi starbuks kenapa selalu gagal yaa pendaftaran ituuu? Jaringan saya tidak masalah, tidak ada email masuk jga saran dong kaa",Negatif
"Baru kali ini kasih ulasan ☆ 1 , parah sie emang nie apk ga bisa dibuka, kirain abis kuota ternyata, emang apk nya yg error..",Negatif
Kalau ada kendala segera diperbaiki merepotkan,Negatif
"Aplikasi payah, ngeleh banget",Negatif
Gk bisa di buka... 😭😭,Negatif
"selalu bermasalah di otpnya, dan saya sudah berulang kali tapi tetap gagal",Negatif
"Gak bisa kebuka aplikasi, syg bgt saldo jd ngendap!",Negatif
Aplikasi ngk bisa dibuka eror terus,Negatif
"mau sign in tapi ""Internal server error"" terus",Negatif
kopi dn kueh ny sngt enk dn mntp. sngt trash dn lzat,Positif
STARBUCKSZZZZ,Positif
Gmana ini masa saya ga bisa login.. Bugnya benerin dlu dong,Negatif
TDK bisa login,Negatif
"Aplikasinya ga bisa open udah ditungguin seharian, gimana ni? Mana masih ada saldonya",Negatif
"Kesel bet dah, YANG BLG SBUX MINUMAN FANCY HOAX NJIR, APK JELEK GINI BANYAK BUG, ISI SALDO GA MUNCUL"" SALDONYA, INCOME LU BNYK TP BENERIN APK GINIAN AJA SUSAH AMAT",Negatif
"Aplikasi sangat lambat saat akan digunakan membeli minuman lewat aplikasi, saat mencari store terdekat proses loadnya lama, mohon di perbaiki,",Negatif
"Dari kemarin sampe sekarang hanya muncul logo saja, tolong dong aplikasinya kenapa jadi gini?mau jajan nih tapi gabisa :(",Positif
Mantap,Positif
"Kenapa saya mau masukin pin untuk pembayaran saya gagal terus , padahal sudah bener pin nya",Positif
Brand doang baguss Tapi bikin aplikasi sendiri aja jelekk nya minta ampun,Negatif
Engga bisa kebuka aplikasinya,Negatif
"Tidak bisa dibuka sama sekali, pakai lupa password juga tidak ada balasan di email",Negatif
🇲🇨😎👉🏻📝♂️👍🏻♂️📝👈🏻😎🇲🇨,Positif
Percuma banyak colokan listriknya jika tidak bisa di gunakan. Tidak ada arus listriknya. Starbucks alauddin Makassar Harus selalu ingatin stafnya.👎👎,Negatif
"Sumpah yaa ini app tergajelas wkwkw, mau sign up aja ga bisa2, pantes aja banyak yg kasih bintang 1, wajar sii. IT lo mana si ini, perusahaan besar tpi kaya gini",Negatif
"Dapet voucher gratis minuman tapi tetap disuruh top up lagi, buat apa top up kan gratis. Gajelas",Negatif
"Gabisa login dari kapan tau, cuma loading aja",Negatif
mau login gabisa. udah jangan bikin app. bikin kopi aja sana,Negatif
instal cm mau gratisan aja ko hshehe,Positif
Bad application,Negatif
